"orderIndex","disclosure-requirement nr.","disclosure-requirement name","datapoint nr.","sub-number","description","parent description","datapoint title","sub-title","entered data","unit","explanation","reportability","obligation","dataAvailability","status","reviewResult","explanationReview","hasDocuments","editor","reviewer"
0,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 a","Ob die Nachhaltigkeitserklärung auf konsolidierter oder auf individueller Basis erstellt wurde,","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Handelt es sich um einen konsolidierte oder individuelle Nachhaltigkeitserklärung?","Konsolidiert","","","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
1,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 b i","für konsolidierte Nachhaltigkeitserklärungen: eine Bestätigung, dass der Konsolidierungskreis der gleiche wie für die Abschlüsse ist, oder gegebenenfalls eine Erklärung, dass das Bericht erstattende Unternehmen keinen Abschluss erstellen muss oder dass das Bericht erstattende Unternehmen eine konsolidierte Nachhaltigkeitsberichterstattung gemäß Artikel 48i der Richtlinie 2013/34/EU erstellt, und","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Entspricht der Konsolidierungskreis der Nachhaltigkeitserklärung dem Kosolidierungskreis des Fiannzberichts? Sollte es zu Abweichungen kommen, geben Sie die Gründe an.","Ja. Der Konsolidierungskreis der Nachhaltigkeitserklärung entspricht dem Konsolidierungskreis des Konzernabschlusses. Die Nachhaltigkeitserklärung bezieht sich ausschließlich auf die vollkonsolidierten Tochtergesellschaften Fröbel Bildung und Erziehung gGmbH, FRÖBEL Kinder in Bewegung gGmbH und FRÖBEL Akademie gGmbH.

Die genannten Gesellschaften erstellen jeweils eigene Jahresabschlüsse und Lageberichte. Auf deren Basis wird unter dem Dach des FRÖBEL e.V. ein konsolidierter Konzernabschluss einschließlich Konzernlagebericht erstellt. Weitere Beteiligungen, die im Konzernabschluss nach der Equity-Methode bilanziert oder von der Vollkonsolidierung ausgenommen sind, sind nicht Bestandteil der Nachhaltigkeitserklärung.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
2,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 b ii","für konsolidierte Nachhaltigkeitserklärungen: gegebenenfalls, welche in die Konsolidierung einbezogenen Tochterunternehmen gemäß Artikel 19a Absatz 9 oder Artikel 29a Absatz 8 der Richtlinie 2013/34/EU von der jährlichen oder konsolidierten Nachhaltigkeitsberichterstattung ausgenommen sind,","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Gibt es Tochterunternhemen, die in der Nachhaltigkeitserklräung nicht berücksichtigt wurden? Nennen Sie die Gründe dafür.","Die konsolidierte Nachhaltigkeitserklärung umfasst alle wesentlichen Tochtergesellschaften der Fröbel Bildung und Erziehung gGmbH. Ausgenommen sind: Comobilia Beteiligungsgesellschaft mbH, da sie keine operativen Einrichtungen betreibt und keine relevanten Nachhaltigkeitsdaten liefert; Fröbel International gGmbH, da die von ihr betriebenen Einrichtungen in Australien liegen; sowie Katholino Service gGmbH, da Fröbel nur 40 % der Anteile hält und diese Gesellschaft unter eigenem Namen einen CSRD-Bericht erstellt.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
3,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 c","inwieweit die Nachhaltigkeitserklärung die vor- und nachgelagerte Wertschöpfungskette des Unternehmens abdeckt (siehe ESRS 1 Abschnitt 5.1 Bericht erstattendes Unternehmen und Wertschöpfungskette),","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Inwiefern haben Sie die vor- und nachgelagerte Wertschöpfungskette berücksichtigt?","Die Nachhaltigkeitserklärung deckt die vor- und nachgelagerte Wertschöpfungskette der Fröbel Bildung und Erziehung gGmbH umfassend ab. In der doppelten Wesentlichkeitsanalyse (DWA) wurden alle relevanten vorgelagerten und nachgelagerten Teile der Wertschöpfungskette berücksichtigt, ebenso in der Bilanzierung der Treibhausgasemissionen.
Vorgelagert umfasst dies Lieferanten von Materialien, Lernmitteln und Dienstleistungen, Lebensmittel, Energiebezug (Strom und Wärme) sowie externe Dienstleister. Nachgelagert umfasst die Wertschöpfungskette Kinder, Familien und Kooperationspartner, den Pendelverkehr von Mitarbeitenden zu den Arbeitsstätten, den Pendelverkehr der Familien zu den Einrichtungen sowie Abfall und Recycling. Durch die Berücksichtigung dieser Bereiche wird die Nachhaltigkeitsleistung entlang der gesamten Wertschöpfungskette transparent dargestellt","","","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
4,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 d","Ob das Unternehmen von der Möglichkeit Gebrauch gemacht hat, eine bestimmte Information, die sich auf geistiges Eigentum, Know-how oder die Ergebnisse von Innovationen bezieht, auszulassen (siehe ESRS 1 Abschnitt 7.7 Klassifizierte und vertrauliche Informationen über geistiges Eigentum, Know-how oder Ergebnisse von Innovationen), und","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Haben Sie die Möglichkeit in Anspruch genommen Informationen aufgrund des Schutzes von geistigem Eigentum, Know-how oder die Ergebnisse von Innovationen zurückgehalten?","No","","","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
5,"BP-1","Allgemeine Grundlage für die Erstellung von Nachhaltigkeitsberichten","5","5 e","im Falle von Unternehmen mit Sitz in einem EU-Mitgliedstaat, der gemäß Artikel 19a Absatz 3 und Artikel 29a Absatz 3 der Richtlinie 2013/34/EU Ausnahmen von der Angabe bevorstehender Entwicklungen oder sich in Verhandlungsphasen befindender Angelegenheiten zulässt, ob das Unternehmen von dieser Ausnahmeregelung Gebrauch gemacht hat.","Das Unternehmen hat die allgemeine Grundlage für die Erstellung seiner Nachhaltigkeitserklärung anzugeben. Das Unternehmen gibt Folgendes an:","Allgemeine Grundlagen","Wurde von der Ausnahmeregelung Gebrauch gemacht?","No","","","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Die Bearbeitung des Datenpunktes wird angenommen, da die Begründung fachlich und sachlich schlüssig ist. Die Konsolidierung der Ergebnisse der Fröbel-Gruppe in einer Gesamtbetrachtung ist inhaltlich begründet. Ggf. ist in der Perspektive auf Grund der Eigentümerstruktur der Gebäude die Fröbel Liegenschaften mit in die Betrachtung einzubeziehen. Fröbel International und Katholino Service aus der Betrachtung auszuklammern, macht aus den oben genannten Gründen (Eigentümerstruktur, operatives Geschäft) Sinn.","Yes","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
32,"GOV-1","Die Rolle der Verwaltungs-, Management- und Aufsichtsorgane","21","21 a","Die Anzahl der geschäftsführenden Mitglieder","Das Unternehmen gibt folgende Informationen über die Zusammensetzung und Diversität der Mitglieder der Verwaltungs-, Leitungs- und Aufsichtsorgane des Unternehmens an:","Zusammensetzung der Verwaltungs-, Leitungs- und Aufsichtsorgane","Wie viele geschäftsführende Mitglieder hat Ihr Unternehmen?",5,"","Die Anzahl der nicht geschäftsführenden Mitglieder und nicht geschäftsführenden Mitglieder nach Organisationen: 
- Fröbel e.V.: 1 / 1
- Fröbel Bildung und Erziehung gGmbH: 1 / 11
- Fröbek Kinder in Bewegung gGmbH : 1 / 3
- Fröbel Akademie gGmbH: 2 / 4
- Fröbel Aufsichtsrat: 0 / 7

Stefan Spieker nimmt als Vorstandsvorsitzender des Fröbel e.V., Geschäftsführer der Fröbel Bildung und Erziehung und Geschäftsführer Kinder in Bewegung gGmbH und Fröbel Akademie gGmbH eine Mehrfachfunktion ein. Bei den Organisationen werden Rollen, nicht Personen gezählt. ","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen mit dem Hinweis, dass die ""Fröbel-Gruppe"" darüber hinaus über einen 7-köpfigen Aufsichtsrat und einen 11-köpfigen Beirat verfügt. Jenseits des Betriebsrats, der die Anliegen der tarifgebundenen Arbeitnehmer:innen vertritt, hat Fröbel einen Sprecherrat, der die Interessen der leitenden Angestellten vertritt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
33,"GOV-1","Die Rolle der Verwaltungs-, Management- und Aufsichtsorgane","21","21 a","Die Anzahl der nicht geschäftsführenden Mitglieder","Das Unternehmen gibt folgende Informationen über die Zusammensetzung und Diversität der Mitglieder der Verwaltungs-, Leitungs- und Aufsichtsorgane des Unternehmens an:","Zusammensetzung der Verwaltungs-, Leitungs- und Aufsichtsorgane","Wie viele nicht geschäftsführende Mitglieder hat Ihr Unternehmen?",26,"","Die Anzahl der nicht geschäftsführenden Mitglieder und nicht geschäftsführenden Mitglieder nach Organisationen: 
- Fröbel e.V.: 1 / 1
- Fröbel Bildung und Erziehung gGmbH: 1 / 11
- Fröbek Kinder in Bewegung gGmbH : 1 / 3
- Fröbel Akademie gGmbH: 2 / 4
- Fröbel Aufsichtsrat: 0 / 7

Stefan Spieker nimmt als Vorstandsvorsitzender des Fröbel e.V., Geschäftsführer der Fröbel Bildung und Erziehung und Geschäftsführer Kinder in Bewegung gGmbH und Fröbel Akademie gGmbH eine Mehrfachfunktion ein. Bei den Organisationen werden Rollen, nicht Personen gezählt. ","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen mit dem Hinweis, dass die ""Fröbel-Gruppe"" darüber hinaus über einen 7-köpfigen Aufsichtsrat und einen 11-köpfigen Beirat verfügt. Jenseits des Betriebsrats, der die Anliegen der tarifgebundenen Arbeitnehmer:innen vertritt, hat Fröbel einen Sprecherrat, der die Interessen der leitenden Angestellten vertritt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
34,"GOV-1","Die Rolle der Verwaltungs-, Management- und Aufsichtsorgane","21","21 b","Die Vertretung von Beschäftigten und anderen Arbeitskräften,","Das Unternehmen gibt folgende Informationen über die Zusammensetzung und Diversität der Mitglieder der Verwaltungs-, Leitungs- und Aufsichtsorgane des Unternehmens an:","Zusammensetzung der Verwaltungs-, Leitungs- und Aufsichtsorgane","Vertretung","36. Gewählte Betriebsräte in 2022 in den Regionen West, Mitte, Ost, welche zum Teil auch den Gesamtbetriebsrat und die Schwerbehindertenvertretungen stellen. ","","Die Anzahl der nicht geschäftsführenden Mitglieder und nicht geschäftsführenden Mitglieder nach Organisationen: 
- Fröbel e.V.: 1 / 1
- Fröbel Bildung und Erziehung gGmbH: 1 / 11
- Fröbek Kinder in Bewegung gGmbH : 1 / 3
- Fröbel Akademie gGmbH: 2 / 4
- Fröbel Aufsichtsrat: 0 / 7

Stefan Spieker nimmt als Vorstandsvorsitzender des Fröbel e.V., Geschäftsführer der Fröbel Bildung und Erziehung und Geschäftsführer Kinder in Bewegung gGmbH und Fröbel Akademie gGmbH eine Mehrfachfunktion ein. Bei den Organisationen werden Rollen, nicht Personen gezählt. ","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen mit dem Hinweis, dass die ""Fröbel-Gruppe"" darüber hinaus über einen 7-köpfigen Aufsichtsrat und einen 11-köpfigen Beirat verfügt. Jenseits des Betriebsrats, der die Anliegen der tarifgebundenen Arbeitnehmer:innen vertritt, hat Fröbel einen Sprecherrat, der die Interessen der leitenden Angestellten vertritt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
35,"GOV-1","Die Rolle der Verwaltungs-, Management- und Aufsichtsorgane","21","21 c","Erfahrungen, die für die Sektoren, Produkte und geografischen Standorte des Unternehmens relevant sind,","Das Unternehmen gibt folgende Informationen über die Zusammensetzung und Diversität der Mitglieder der Verwaltungs-, Leitungs- und Aufsichtsorgane des Unternehmens an:","Zusammensetzung der Verwaltungs-, Leitungs- und Aufsichtsorgane","Inwiefern verfügen die Verwaltungs-, Leitungs- und Aufsichtsorgane über Zugang zu Fachwissen, das für den Sektor, Produkte und geografischen Wirkungsraum im Bezug auf die Einschätzung und Beurteilung der Auswirkungen, Risiken und Chancen?","Die Verwaltungs-, Leitungs- und Aufsichtsorgane von Fröbel verfügen über einen strukturierten Zugang zu fachlichem Wissen, das für den Sektor der frühkindlichen Bildung und Betreuung, die angebotenen Dienstleistungen sowie den geografischen Wirkungsraum des Unternehmens relevant ist.

Der Zugang erfolgt insbesondere über interne Fachabteilungen, darunter Pädagogik, Kinderschutz, Personal, Recht/Compliance sowie Nachhaltigkeit, die regelmäßig fachliche Einschätzungen, Berichte und Entscheidungsvorlagen zu wesentlichen Auswirkungen, Risiken und Chancen bereitstellen. Diese Expertise deckt sowohl pädagogische und soziale Themen (z. B. Kinderschutz, Inklusion, Qualität der Betreuung) als auch regulatorische, arbeitsrechtliche und nachhaltigkeitsbezogene Fragestellungen ab.

Ergänzend greift das Unternehmen auf externe Fachberatung zurück, etwa in den Bereichen Nachhaltigkeitsberichterstattung, Recht, Arbeitsschutz und Qualitätsentwicklung. Schulungen, Workshops und themenspezifische Informationsformate unterstützen zusätzlich den Wissensaufbau und die Aktualisierung relevanter Kenntnisse auf Leitungs- und Aufsichtsebene.

Auf dieser Grundlage sind die Verwaltungs-, Leitungs- und Aufsichtsorgane in der Lage, wesentliche Auswirkungen, Risiken und Chancen im Zusammenhang mit dem Geschäftsmodell, den Dienstleistungen und den regionalen Rahmenbedingungen sachgerecht zu bewerten und in strategische und operative Entscheidungen einzubeziehen.","","Die Anzahl der nicht geschäftsführenden Mitglieder und nicht geschäftsführenden Mitglieder nach Organisationen: 
- Fröbel e.V.: 1 / 1
- Fröbel Bildung und Erziehung gGmbH: 1 / 11
- Fröbek Kinder in Bewegung gGmbH : 1 / 3
- Fröbel Akademie gGmbH: 2 / 4
- Fröbel Aufsichtsrat: 0 / 7

Stefan Spieker nimmt als Vorstandsvorsitzender des Fröbel e.V., Geschäftsführer der Fröbel Bildung und Erziehung und Geschäftsführer Kinder in Bewegung gGmbH und Fröbel Akademie gGmbH eine Mehrfachfunktion ein. Bei den Organisationen werden Rollen, nicht Personen gezählt. ","","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen mit dem Hinweis, dass die ""Fröbel-Gruppe"" darüber hinaus über einen 7-köpfigen Aufsichtsrat und einen 11-köpfigen Beirat verfügt. Jenseits des Betriebsrats, der die Anliegen der tarifgebundenen Arbeitnehmer:innen vertritt, hat Fröbel einen Sprecherrat, der die Interessen der leitenden Angestellten vertritt.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
