Company name;Country / Area;;;
A.T. Kearney Holdings Limited;United Kingdom;;;
AB Ignitis grupė;Lithuania;;;
ABB;Switzerland;;;
ABDI IBRAHIM ILAC SANAYI VE TICARET ANONIM SIRKETI;Türkiye;;;
ABEAM CONSULTING LTD.;Japan;;;
Acbel Polytech Inc;Taiwan, China;;;
Accenture;Ireland;;;
ACCIONA S.A.;Spain;;;
Acer Inc.;Taiwan, China;;;
adidas AG;Germany;;;
ADM Elektrik Dağıtım AŞ;Türkiye;;;
Advance Residence Investment Corporation;Japan;;;
AENA SME SA;Spain;;;
Aeon Co., Ltd.;Japan;;;
Aguas Andinas SA;Chile;;;
Air France - KLM;France;;;
Aisin Corporation;Japan;;;
AKBANK T.A.Ş.;Türkiye;;;
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.;Türkiye;;;
AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI;Türkiye;;;
AkzoNobel;Netherlands;;;
ALPS ALPINE CO LTD.;Japan;;;
Altri SGPS SA;Portugal;;;
Always (Shanghai) Marketing Services Co., Ltd;Mainland China;;;
Amaggi;Brazil;;;
Ambipar Participacoes e Empreendimentos;Brazil;;;
AMKOR TECHNOLOGY INC;United States of America;;;
AmorePacific Corporation;Korea (The Republic of);;;
ANA Holdings Inc.;Japan;;;
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.;Türkiye;;;
Anritsu Corporation;Japan;;;
Anta Sports Products Ltd;Hong Kong, China;;;
Aoyama Trading Co., Ltd.;Japan;;;
Aozora Bank, Ltd.;Japan;;;
APG SGA SA;Switzerland;;;
AptarGroup;United States of America;;;
ARÇELİK A.Ş.;Türkiye;;;
ARE Holdings, Inc.;Japan;;;
ARKEMA;France;;;
Asahi Group Holdings, Ltd.;Japan;;;
Asia Cement Corporation;Taiwan, China;;;
Asics Corporation;Japan;;;
Askul Corporation;Japan;;;
ASM International;Netherlands;;;
ASML Holding;Netherlands;;;
Astellas Pharma Inc.;Japan;;;
ASTM SpA;Italy;;;
AstraZeneca;United Kingdom;;;
ASUSTeK Computer Inc;Taiwan, China;;;
Atacadao SA;Brazil;;;
Atea ASA;Norway;;;
ATLANTICA SUSTAINABLE INFRASTRUCTURE LIMITED;United Kingdom;;;
AUO Corporation;Taiwan, China;;;
Autoneum Holding AG;Switzerland;;;
Autostrade per l'italia Spa;Italy;;;
AYDEM ELEKTRİK PERAKENDE SATIŞ ANONİM ŞİRKETİ;Türkiye;;;
AYDEM YENİLENEBİLİR ENERJİ A.Ş.;Türkiye;;;
BA Glass;Portugal;;;
Bain & Company;United States of America;;;
Banco Bradesco S/A;Brazil;;;
Banco de Bogota SA;Colombia;;;
Banco do Brasil S/A;Brazil;;;
Banco Santander Brasil SA;Brazil;;;
Bank of The Ryukyus, Limited;Japan;;;
Barratt Redrow Plc;United Kingdom;;;
Barry Callebaut AG;Switzerland;;;
BASF SE;Germany;;;
Bayer AG;Germany;;;
Beiersdorf Aktiengesellschaft;Germany;;;
Bekaert NV;Belgium;;;
BEL GROUP;France;;;
Berkeley Group;United Kingdom;;;
Berli Jucker PCL;Thailand;;;
Best Buy Co., Inc.;United States of America;;;
Bic Camera Inc;Japan;;;
Big Yellow Group;United Kingdom;;;
BIPROGY Inc.;Japan;;;
Bloomage Biotechnology Corporation Limited;Mainland China;;;
Boston Consulting Group;United States of America;;;
Brambles;Australia;;;
Braskem S/A;Brazil;;;
BREMBO N.V.;Italy;;;
BRF S.A;Brazil;;;
BRİSA BRIDGESTONE SABANCI LASTİK SAN. VE TİC. A.Ş;Türkiye;;;
British American Tobacco PLC;United Kingdom;;;
British Land Company;United Kingdom;;;
BT Group;United Kingdom;;;
Cairn Homes Plc;Ireland;;;
CaixaBank;Spain;;;
Canon Inc.;Japan;;;
Capgemini SE;France;;;
Carlsberg Breweries A/S;Denmark;;;
Carmila SA;France;;;
Carrefour;France;;;
CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.;Türkiye;;;
CarUX Technology Pte. Ltd.;Singapore;;;
Cellnex Telecom SA;Spain;;;
Cementir Holding N.V.;Italy;;;
CEMEX;Mexico;;;
Centrais Eletricas Brasileiras S/A (ELETROBRAS);Brazil;;;
Chang Hwa Bank;Taiwan, China;;;
CHANG SHIN INC.;Korea (The Republic of);;;
Cheng Loong Corp;Taiwan, China;;;
Chicony Power Technology Co.,Ltd.;Taiwan, China;;;
Chiesi;Italy;;;
CHIMEI Corporation;Taiwan, China;;;
Chugai Pharmaceutical Co., Ltd.;Japan;;;
Chunghwa Telecom;Taiwan, China;;;
Cia Paranaense de Energia - COPEL;Brazil;;;
CIMKO CIMENTO VE BETON SANAYI TICARET ANONIM SIRKETI;Türkiye;;;
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.;Türkiye;;;
Cisco Systems, Inc.;United States of America;;;
Citizen Watch Co.,Ltd.;Japan;;;
City Developments Limited;Singapore;;;
CNH Industrial NV;United Kingdom;;;
COATS GROUP PLC;United Kingdom;;;
Coca-Cola Bottlers Japan Holdings Inc.;Japan;;;
Coca-Cola Europacific Partners;United Kingdom;;;
Coca-Cola HBC AG;Switzerland;;;
COCA-COLA İÇECEK A.Ş.;Türkiye;;;
Coesia SpA;Italy;;;
Comba Telecom Technology (Guangzhou) Limited;Mainland China;;;
