sbti_id;company_name
40009754;AcBel Polytech Inc.
40008140;Chalhoub Group
40007629;Citrosuco Agroindustria S.A.
40006454;Cloudfm Group Limited
40014578;Deutsche Glasfaser Group GmbH
40012691;Drax Group plc
40006049;Fater S.p.A.
40011886;FRIGOGLASS
40005289;Guardian News and Media Limited
40003304;Hanesbrands Inc.
40001848;HSS HIRE GROUP PLC
40006669;Irwin Mitchell Holdings Limited
40008240;LG Electronics Inc.
40009218;Li & Fung Trading Limited
40010599;Premier Foods PLC
40009503;Sekisui House, LTD
40001578;Sigma Alimentos, S. A. de C. V.
40008920;Swiss Post
40010289;Teknikum Group Ltd.
40002763;Thai Union Group Public Company Limited
40013142;TIS Inc.
40005499;Vattenfall AB
40004426;CVC
40003156;Tsubakimoto Chain Co.
40006858;Zadig&Voltaire
40004347;Waystar Technologies, Inc.
40005885;Asahi Kasei Homes Corporation
40012700;AVRIL SCA
40007163;Building Design Partnership Limited
40006923;Coles Group Limited
40015121;Cordenka GmbH & Co. KG
40014324;Ellab A/S
40011930;ESPEC Corp.
40007649;FirstGroup PLC
40000871;HubSpot Inc
40013101;Innolux Corporation
40014540;Interloop Limited
40012957;Interpublic Group of Companies, Inc.
40004896;ISHIZUKA GLASS CO., LTD.
40010084;John Lewis Partnership
40007841;News Corp
40014204;OTB S.p.A.
40012423;Anticimex Group AB
40010894;Aon plc
40008942;BUREAU VERITAS
40008452;DuPont de Nemours, Inc.
40007045;Ermenegildo Zegna NV
40002811;Gammon Group
40001676;Genuit Group plc
40012114;Glenmark Pharmaceuticals Limited
40005354;Graham Packaging
40004448;Topsoe A/S
40009015;Natura & Co
40006010;PPG Industries, Inc.
40010025;Recruit Holdings Co., Ltd.
40005696;ReNew Energy Global PLC
40016011;Revolution Bars Group plc
40008526;Scan Global Logistics A/S
40015205;Simplo Technology Co., Ltd.
40010356;Sir Robert McAlpine
40006037;TFG Brands (London) Limited
40002603;Tyman plc
40014667;Virgin Media O2
40011227;Waterman Group Plc
40001023;Whitbread PLC
40007691;UNITED ARROWS LTD.
40009251;MALTERIES SOUFFLET
40006102;Coyle Personnel Ltd
40008548;D-ploy (Schweiz) GmbH
40013331;Daiwa Excel Co., Ltd.
40012159;MM Sports AB
40007870;Terence O'Rourke LTd
40012679;TOHO SHEET & FRAME CO.,LTD.
40004594;TEG Co.,Ltd.
40003370;nonpi.inc
40011182;VGP NV
40014080;DIECAST TOWA MANUFACTURING Co.LTD
40008214;OX2 AB
40010381;MATSUKAWA RAPYARN LTD.
40002485;Tatebayashi holdings Co.,Ltd.
40002999;MARUGO Co.,Ltd
40007246;Aigihousing.co.,Ltd.
40003200;Celoplás, Plásticos p/ Industria, SA
40013018;Pelletteria P.A.M. srl
40013875;Meca-Trade Oy
40007092;Calzaturificio Stella
40006476;TONO CORE CO.,LTD
40015151;AIKOSHA Co.,Ltd.
40003359;Stutzer&Co. AG
40007650;Haotong International Transportation Agent Co.,Ltd.
40001039;AB Anders Löfberg
40005481;Cramer Production Company, Inc.
40010663;B.M INDUSTRIES.LTD.
40013479;The Assay Depot Inc (d.b.a. Scientist.com)
40001878;familie redlich AG
40012947;Xior Student Housing NV
40010062;METALLINEA SRL
40008770;Netprofile
40003533;ADAMMA INFO SERVICES Private Limited
40012450;Workplace Designs Pvt Ltd
40007546;Shanghai Treasure Carbon New Energy Environmental Protection Technology Ltd.
40015050;JAMOCHA TECH PRIVATE LIMITED
40009210;(ACIP) Alexandria Company for Industrial Packages
40014373;2 Sisters Food Group
40009158;24 Ltd
40003630;2degrees
40012890;3B-Fibreglass
40002762;80 Acres Urban Agriculture, Inc
40004303;A-Insinöörit Oy
40004121;A. Espersen A/S
40005131;A.G. Barr plc
40006939;AS Watson Holdings Limited
40006635;Vestfrost Solutions
40010101;A&L Goodbody
40010820;A1 Telekom Austria Group
40001989;A2A S.p.A.
40011257;A2G S.A.C B.I.C
40000493;AAK
40010514;Aakel Technologies Inc.
40008393;Aardvark Certification Ltd
40003612;Aarti Industries Limited
40013388;Aasted ApS
40012294;Fagerhult Group
40004643;AB InBev
40006601;AB SKF
40010305;ABF Sugar
40005264;AB Tingstad Papper
